date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:29	39955/39955	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:28%20GMT	https://jaipurliteraturefestival.org/speaker/priyanka-chaturvedi-4479&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/priyanka-chaturvedi-4479&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:30	39334/39334	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:29%20GMT	https://jaipurliteraturefestival.org/speaker/amit-chaudhuri-4321&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/amit-chaudhuri-4321&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:30	39982/39982	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:29%20GMT	https://jaipurliteraturefestival.org/speaker/ankur-sarin&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/ankur-sarin&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:30	39700/39700	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:29%20GMT	https://jaipurliteraturefestival.org/speaker/deval-sanghavi&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/deval-sanghavi&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:31	39639/39639	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:30%20GMT	https://jaipurliteraturefestival.org/speaker/jesim-pais&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/jesim-pais&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:31	39763/39763	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:30%20GMT	https://jaipurliteraturefestival.org/speaker/kasturi-gandhi&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/kasturi-gandhi&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:32	39825/39825	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:31%20GMT	https://jaipurliteraturefestival.org/speaker/pushpa-aman-singh&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/pushpa-aman-singh&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:32	39992/39992	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:31%20GMT	https://jaipurliteraturefestival.org/speaker/vandana-shiva&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/vandana-shiva&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:32	39570/39570	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:31%20GMT	https://jaipurliteraturefestival.org/speaker/tom-holland-4177&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/tom-holland-4177&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
12:32:33	39738/39738	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202023%2007:02:32%20GMT	https://jaipurliteraturefestival.org/speaker/martin-puchner-4147&lg=hi	C:/My%20Web%20Sites/JLF/jaipurliteraturefestival.org/speaker/martin-puchner-4147&lg=hi.html	(from https://jaipurliteraturefestival.org/programme?lg=hi)
